drop_length,adv,rec,avg_vel,width,y
-1.0554653,-1.0900335,1.0310992,-1.1465209,0.30749735,-1.2089585
2.4408937,1.9375075,-2.4332824,2.0846288,0.30523083,1.60044
-0.6621731,-0.39122832,0.6161468,-0.50739145,-0.36551368,-0.46331272
0.8233964,-13.61052,1.7674971,-0.8218382,0.69018596,0.11571393
-1.2872193,-1.3993355,1.2234019,-1.3342434,0.1008082,-1.4050748
0.47573,0.31770802,-0.50570023,0.6243939,-0.36939648,0.77679574
-1.2808899,-1.448204,1.2399257,-1.385579,0.27985546,-1.4745204
-0.9828933,-0.914721,1.0135157,-1.1192063,0.4873877,-1.1870778
-1.221061,-1.3480383,1.1606488,-1.3289831,0.31706572,-1.4044323
1.1060518,0.9811584,-1.0847493,1.1166224,-0.20641418,1.1112344
-1.4109571,-1.737543,1.4763033,-1.5888863,0.45493838,-1.7445843
-1.4317579,-1.6993405,1.4728708,-1.5476663,0.22768636,-1.6751614
-0.77589667,-11.473451,-2.4923048,2.2946901,-2.7794037,0.21046938
0.33329403,0.1483854,-0.37971532,0.46832976,-0.32946804,0.6048672
-1.1852798,-1.2685345,1.1341676,-1.2531666,0.198509,-1.3205913
2.0600142,1.2504579,-2.069066,1.8151035,-0.015149813,1.5349071
-0.97839296,-0.836152,0.9292268,-0.9005684,-0.18470652,-0.91226274
-0.24492943,-0.16461864,0.21601318,-0.11356263,-0.30375445,-0.039715577
-0.96644783,-0.79386055,0.92211944,-0.8579722,-0.291634,-0.8561785
0.14256513,-0.03723456,-0.20351107,0.2902279,-0.4014922,0.41933426
-1.419114,-1.7169621,1.4803436,-1.588337,0.4932963,-1.7590033
-1.2732755,-1.3160642,1.2408531,-1.2761011,-0.057852354,-1.3326489
0.046589047,-0.037978336,-0.089249715,0.17634648,-0.31421283,0.2827278
-1.2909516,-1.4851485,1.2636764,-1.418473,0.34471565,-1.5166011
-0.48845437,-0.32836086,0.45023906,-0.34011164,-0.3708098,-0.2810283
-0.9113673,-0.85006857,0.9230775,-0.9791722,0.27352127,-1.0298128
-1.486219,-1.811661,1.5651505,-1.7000967,0.62485725,-1.8919063
-0.9514176,-0.773309,0.89988,-0.8425016,-0.27988926,-0.8396398
-1.4164721,-1.7600735,1.4891193,-1.5983994,0.44283733,-1.7527959
-1.236893,-1.3816015,1.1714228,-1.3668462,0.38581732,-1.4456046
-1.1563836,-1.1227497,1.1445179,-1.1292887,-0.11900598,-1.1725086
-1.1813684,-1.2854375,1.1294241,-1.2826701,0.3062465,-1.3546541
-1.3141338,-1.4881355,1.2853347,-1.4004135,0.20845562,-1.4939315
-0.17243996,-0.085114434,0.14613293,-0.050149057,-0.2514172,0.025419187
0.35962802,0.76628006,-0.3141452,0.5320142,-0.31325522,0.6718271
-1.4753592,-1.7759953,1.5494957,-1.6481686,0.53597754,-1.8365885
-1.4294864,-1.7223228,1.4823434,-1.5618193,0.2825859,-1.699012
0.47543716,0.22110955,-0.53107274,0.6255246,-0.39177123,0.78353465
1.3372252,0.8457793,-1.3796102,1.2831485,-0.15722542,1.2286444
-0.87632024,-0.776816,0.88360673,-0.92573345,0.23397315,-0.9673997
0.9053056,0.900754,-0.86975145,0.9699691,-0.2682794,1.0172435
0.4697228,0.7625427,-0.41864085,0.64487004,-0.36164305,0.79494685
0.29674006,0.38710213,-0.28331345,0.4367877,-0.29455885,0.5622094
-1.2016492,-1.2090133,1.1774931,-1.1936939,-0.06810285,-1.2446238
-0.04534903,-0.16189612,-0.011518791,0.10867277,-0.43543366,0.2222626
1.24068,-12.490029,1.5237656,1.811704,-0.066993006,0.18461943
-0.037330925,-0.12422563,-0.015390143,0.10441835,-0.37235662,0.21074738
-0.86621404,-0.7039865,0.8419792,-0.841756,0.021638203,-0.8611696
1.158198,0.65120834,-1.2068841,1.1664244,-0.26381737,1.1790745
2.4418216,1.4815377,-2.4105685,2.0722895,0.07258941,1.6794131
